Type,2020,2030,2040,2050
21,1,0.795505618,0.783185841,0.778021978
31,1,0.795505618,0.783185841,0.778021978
32,1,0.795505618,0.783185841,0.778021978
41,1,0.795505618,0.783185841,0.778021978
42,1,0.795505618,0.783185841,0.778021978
52,1,0.888235294,0.893491124,0.883040936
53,1,0.888235294,0.893491124,0.883040936
61,1,0.86746988,0.765957447,0.727272727
62,1,0.86746988,0.765957447,0.727272727
Electricity_share_of_Etrucks,1,0.9993,0.9988,0.9982
Electricity_share_of_EV,0.9971,0.9889,0.9709,0.9613
Electricity_share_of_Commercial,1,0.9993,0.9987,0.9981
CO2_Aviation,1,0.9997,0.9999,0.9999
Energy_intensity_Aviation ,1,0.9468,0.8886,0.8402
CO2_per_MJ_Electricity,1,0.8566,0.8335,0.7858
CHI_per_MJ_Electricity,1,0.9,0.95,0.9
DC_per_MJ_Electricity,1,0.81,0.8,0.77
LA_per_MJ_Electricity,1,0.78,0.7,0.59
NYC_per_MJ_Electricity,1,0.79,0.72,0.74
SF_per_MJ_Electricity,1,0.78,0.7,0.59
Energy_Intensity_Paper_Industry ,1,1.05,1.02,1
CO2_Paper_Industry,1,0.86,0.73,0.65
Energy_Intensity_Warehouse ,1,0.92,0.88,0.84
CO2_Warehouse,1,0.78,0.71,0.66
